ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oú priorytetowa <Kod>;Dzia≥anie <Kod>;Poddzia≥anie <Kod>;WartoúÊ ogÛ≥em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;MiejscowoúÊ;WojewÛdztwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p≥atnoúÊ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoÒczony (Wniosek o p≥atnoúÊ koÒcowπ);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33-162;33;Projekt;Plan Rozwoju Eksportu firmy SMOCAB;POIG.06.01.00-22-070/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.01.00;;10,000.00;10,000.00;8,000.00;6,800.00;SMOCAB GRZEGORZ MACHALSKI;5882120216;80-368;GdaÒsk;Pomorskie;Powiat m. GdaÒsk;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;osoba fizyczna prowadzπca dzia≥alnoúÊ gospodarczπ - mikro przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/17;2011/03/23
33-163;33;Projekt;Plan Rozwoju Eksportu narzÍdziem rozwoju strategii eksportowej przedsiÍbiorstwa AP Polska;POIG.06.01.00-24-087/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.01.00;;12,500.00;12,500.00;10,000.00;8,500.00;Firma Handlowo-Produkcyjna AP Polska spÛ≥ka cywilna Micha≥ KiecoÒ, Zhiwei Shen;5482514673;43-450;UstroÒ;ålπskie;Powiat cieszyÒski;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka cywilna prowadzπca dzia≥alnoúÊ w oparciu o umowÍ zawartπ na podstawie KC - mikro przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/23
33-164;33;Projekt;Plan rozwoju eksportu dla Sedia Line Sp. z o.o. poprzez zakup zewnÍtrznych us≥ug doradczych;POIG.06.01.00-28-020/10-02;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.01.00;;12,500.00;12,500.00;10,000.00;8,500.00;Sedia Line Sp. z o.o.;7422219115;11-700;Mrπgowo;WarmiÒsko-mazurskie;Powiat mrπgowski;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;;;2011/05/16;2011/05/20
33-165;33;Projekt;PÍtla Øu≥awska ñ rozwÛj turystyki wodnej. Etap I;POIG.06.04.00-00-009/10-02;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.04.00;;82,676,918.00;81,786,025.00;49,071,615.00;41,710,872.75;WojewÛdztwo Pomorskie;5832569948;80-810;GdaÒsk;Pomorskie;Powiat m. GdaÒsk;57 Inne wsparcie na rzecz wzmocnienia us≥ug turystycznych;wspÛlnota samorzπdowa - wojewÛdztwo;00 Nie dotyczy;;;2011/03/14;2011/04/11
33-166;33;Projekt;Promocja firmy Handelot. com poprzez udzia≥ w MT Cebit 2011 w Hanowerze, 1-5.03.2011 r.  ;POIG.06.05.02-00-001/11-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;64,738.32;53,064.20;25,000.00;21,250.00;Handelot.Com Sp. z o.o.;8943005570;52-437;Wroc≥aw;Dolnoúlπskie;Powiat m. Wroc≥aw;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - mikro przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/15;2011/03/16
33-167;33;Projekt;Promocja firmy STM Software S.A. na targach Cebit;POIG.06.05.02-00-002/11-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;61,500.00;50,000.00;25,000.00;21,250.00;SMT Software S.A.;8971724271;50-048;Wroc≥aw;Dolnoúlπskie;Powiat m. Wroc≥aw;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka akcyjna - úrednie przedsiÍbiorstwo;00 Nie dotyczy;;;2011/05/19;2011/05/20
33-168;33;Projekt;Promocja firmy Connectis SpÛ≥ka z o.o. na targach Cebit;POIG.06.05.02-00-006/11-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;54,900.00;45,000.00;22,500.00;19,125.00;Connectis Sp. z o.o.;5211019683;00-113;Warszawa;Mazowieckie;Powiat m. st. Warszawa;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/10;2011/03/11
33-169;33;Projekt;RozwÛj eksportu firmy Balma Desing marka Noti;POIG.06.05.02-00-008/11-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;123,000.00;100,000.00;25,000.00;21,250.00;Balma Desing Ryszard Balcerkiewicz;7810041804;62-080;Tarnowo PodgÛrne;Wielkopolskie;Powiat poznaÒski;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;osoba fizyczna prowadzπca dzia≥alnoúÊ gospodarczπ - duøe przedsiÍbiorstwo;00 Nie dotyczy;;;2011/05/12;2011/05/12
33-170;33;Projekt;"Zaprezentowanie oferty firmy IKER Sp. z o.o. podczas targÛw ""Salone Internazionale del Mobile""";POIG.06.05.02-00-010/11-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;131,180.92;105,150.77;25,000.00;21,250.00;IKER Sp. z o.o.;7342021629;33-300;Nowy Sπcz;Ma≥opolskie;Powiat m. Nowy Sπcz / Powiat nowosπdecki;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;;;2011/05/12;2011/05/12
33-171;33;Projekt;Udzia≥ w Wystawie Narodowej Taszkient/Uzbekistan 25-28 maja 2011 r.;POIG.06.05.02-00-016/11-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;61,057.20;49,640.00;24,820.00;21,097.00;DZT TYMI—SCY SP”£KA JAWNA;5441502704;17-300;Baciki årednie;Podlaskie;Powiat siemiatycki;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka jawna - úrednie przedsiÍbiorstwo;00 Nie dotyczy;;;2011/05/31;2011/05/31
33-172;33;Projekt;Zdobycie nowych klientÛw i rozwÛj eksportu w ramach misji do Gruzji;POIG.06.05.02-00-019/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;7,250.67;5,910.37;2,955.18;2,511.90;ALEX Stolarstwo Meblowe Zenon Aleksandrowicz;5781002449;82-310;Gronowo GÛrne,Elblπg 2 ;WarmiÒsko-mazurskie;Powiat elblπski / Powiat m. Elblπg;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;osoba fizyczna prowadzπca dzia≥alnoúÊ gospodarczπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;;;2011/01/11;2011/01/12
33-173;33;Projekt;Udzia≥ firmy LfC na targach Israel Gateway 2010;POIG.06.05.02-00-025/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;14,527.76;10,354.00;5,177.00;4,400.45;LfC Sp. z o.o.;9290112610;65-364;Zielona GÛra;Lubuskie;Powiat m. Zielona GÛra;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;POIG.06.05.02-00-025/10-01;Tak;2011/01/11;2011/01/12
33-174;33;Projekt;Udzia≥ w targach Autumn International Fire Albania-Tyrana 25-30.11.2010r.;POIG.06.05.02-00-026/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;31,568.00;29,368.00;14,684.00;12,481.40;Kwazar Corporation SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;5291645708;96-313;Budy Grzybek;Mazowieckie;Powiat grodziski;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - úrednie przedsiÍbiorstwo;00 Nie dotyczy;POIG.06.05.02-00-026/10-01;Tak;2011/02/16;2011/02/17
33-175;33;Projekt;Targi Tirana International Autumn Fair Albania/Tirana 25-30.11.2010;POIG.06.05.02-00-030/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.05.00;POIG.06.05.02;17,428.00;16,768.00;8,384.00;7,126.40;POLCOLORIT S.A.;6111715343;58-573;Piechowice;Dolnoúlπskie;Powiat jeleniogÛrski;05 Us≥ugi w zakresie zaawansowanego wsparcia dla przedsiÍbiorstw i grup przedsiÍbiorstw;spÛ≥ka akcyjna - úrednie przedsiÍbiorstwo;00 Nie dotyczy;;;2011/01/13;2011/01/13
33-176;33;Projekt;Projekt Systemowy dla wspierania dzia≥aÒ w zakresie budowy elektronicznej administracji. ;POIG.07.01.00-00-001/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.07.00.00;POIG.07.01.00;;60,000,000.00;60,000,000.00;60,000,000.00;51,000,000.00;W≥adza Wdraøajπca Programy Europejskie ;5262735917;00-326;Warszawa;;;11 Technologie informacyjne i komunikacyjne (dostÍp, bezpieczeÒstwo, interoperacyjnoúÊ, zapobieganie zagroøeniom, badania, innowacje, treúci cyfrowe itp.);organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/02/14;2011/03/07
33-177;33;Projekt;Emp@tia - Platforma komunikacyjna obszaru zabezpieczenia spo≥ecznego;POIG.07.01.00-00-020/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.07.00.00;POIG.07.01.00;;49,197,670.00;47,567,323.50;47,567,323.50;40,432,224.97;Ministerstwo Pracy i Polityki Spo≥ecznej;5262895101;00-513;Warszawa;Mazowieckie;Powiat m. st. Warszawa;15 Inne dzia≥ania majπce na celu poprawÍ dostÍpu MåP do TIK i ich wydajne uøytkowanie;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/03/02;2011/03/11
33-178;33;Projekt;Stworzenie platformy mailingowej skierowanej do klienta biznesowego;POIG.08.01.00-02-192/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.08.00.00;POIG.08.01.00;;941,600.00;941,600.00;775,300.00;659,005.00;GLOBNET spÛ≥ka z ograniczonπ odpowiedzialnoúciπ;9542657474;40-954;Katowice;;;14 Us≥ugi i aplikacje dla MåP (e-handel, kszta≥cenie i szkolenie, tworzenie sieci itp.);spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - mikro przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/21;2011/04/04
33-179;33;Projekt;Optymalizacja i automatyzacja przep≥ywu informacji handlowych oraz wprowadzenie innowacyjnych rozwiπzaÒ B2B pomiÍdzy Clarena Polska a kontrahentami;POIG.08.02.00-02-050/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.08.00.00;POIG.08.02.00;;1,777,251.68;1,762,751.68;916,745.42;779,233.60;CLARENA POLSKA SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ SpÛ≥ka komandytowa;8961390845;51-361;Wilczyce;Dolnoúlπskie;Powiat wroc≥awski;15 Inne dzia≥ania majπce na celu poprawÍ dostÍpu MåP do TIK i ich wydajne uøytkowanie;spÛ≥ka komandytowa - úrednie przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/09;2011/05/17
33-180;33;Projekt;Budowa sieci teleinformatycznej w Chroúnicy, Stefanowicach gmina ZbπszyÒ;POIG.08.04.00-30-052/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.08.00.00;POIG.08.04.00;;423,482.19;336,407.55;201,844.53;171,567.85;SpTelek Sp. z o.o.;7881936804;60-360;ZbπszyÒ;;;15 Inne dzia≥ania majπce na celu poprawÍ dostÍpu MåP do TIK i ich wydajne uøytkowanie;spÛ≥ka z ograniczonπ odpowiedzialnoúciπ - ma≥e przedsiÍbiorstwo;00 Nie dotyczy;;;2011/03/10;2011/03/10
33-181;33;Projekt;Zapewnienie wsparcia zarzπdzania realizacjπ 7 osi i dzia≥aÒ 8.3 i 8.4 w ramach 8 osi POIG w 2011 roku realizowane przez WWPE  ;POIG.09.01.00-00-012/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.01.00;;8,244,000.00;8,244,000.00;8,244,000.00;7,007,400.00;W≥adza Wdraøajπca Programy Europejskie;5262735917;02-517;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/05/10;2011/05/13
33-182;33;Projekt;Wsparcie zarzπdzania w DPO w 2011 r.;POIG.09.01.00-00-014/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.01.00;;967,500.00;967,500.00;967,500.00;822,375.00;Ministerstwo Gospodarki, Departament Wdraøania ProgramÛw Operacyjnych;5262897181;00-507;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/02/16;2011/02/16
33-183;33;Projekt;Wsparcie procesÛw zarzπdzania Instytucji Poúredniczπcej (MSWiA) poprzez finansowanie kosztÛw realizacji 7. i 8. osi priorytetowej PO IG w 2011 roku;POIG.09.01.00-00-017/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.01.00;;1,613,000.00;1,613,000.00;1,613,000.00;1,371,050.00;Ministerstwo Spraw WewnÍtrznych i Administracji;5210526030;02-591;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/01/21;2011/02/08
33-184;33;Projekt;Wsparcie zarzπdzania PARP w 2011 roku;POIG.09.01.00-00-018/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.01.00;;72,293,340.00;72,293,340.00;72,293,340.00;61,449,339.00;Polska Agencja Rozwoju PrzedsiÍbiorczoúci;5262501444;00-834;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;paÒstwowa osoba prawna;00 Nie dotyczy;POIG.09.01.00-00-018/10-01;Nie;2011/01/25;2011/01/26
33-185;33;Projekt;Wsparcie zarzπdzania - POT -2011;POIG.09.01.00-00-019/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.01.00;;2,590,000.00;2,590,000.00;2,590,000.00;2,201,500.00;Polska Organizacja Turystyczna;5252150196;00-613;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;paÒstwowa osoba prawna;00 Nie dotyczy;POIG.09.01.00-00-019/10-02;Nie;2011/02/17;2011/02/22
33-186;33;Projekt;Wsparcie zarzπdzania IW w 2011 r.;POIG.09.01.00-00-021/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.01.00;;5,524,100.00;5,524,100.00;5,524,100.00;4,695,485.00;Oúrodek Przetwarzania Informacji;5250009140;00-608;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;jednostka naukowa;00 Nie dotyczy;POIG.09.01.00-00-021/10-02;Nie;2011/01/17;2011/01/19
33-187;33;Projekt;Wyposaøenie instytucji - POT-2011;POIG.09.02.00-00-012/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.02.00;;470,000.00;470,000.00;470,000.00;399,500.00;Polska Organizacja Turystyczna;5252150196;00-613;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;paÒstwowa osoba prawna;00 Nie dotyczy;POIG.09.02.00-00-012/10-02;Nie;2011/01/04;2011/01/14
33-188;33;Projekt;Wyposaøenie stanowisk pracy personelu zarzπdzajπcego realizacjπ 7 osi i dzia≥ania 8.3 i 8.4 w ramach 8 osi POIG w 2011 roku realizowane przez WWPE;POIG.09.02.00-00-013/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.02.00;;1,389,000.00;1,389,000.00;1,389,000.00;1,180,650.00;W≥adza Wdraøajπca Programy Europejskie;5262735917;02-517;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/05/10;2011/05/13
33-189;33;Projekt;Wyposaøenie instytucji PARP i RIF w 2011 r.;POIG.09.02.00-00-018/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.02.00;;5,948,977.88;5,948,977.88;5,948,977.88;5,056,631.19;Polska Agencja Rozwoju PrzedsiÍbiorczoúci;5262501444;00-834;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;paÒstwowa jednostka organizacyjna;00 Nie dotyczy;POIG.09.02.00-00-018/10-02;Nie;2011/03/24;2011/05/04
33-190;33;Projekt;Wyposaøenie w sprzÍt komputerowy, biurowy, materia≥y biurowe, eksploatacyjne, finansowanie kosztÛw uøytkowania telefonÛw s≥uøbowych pracownikÛw na potrzeby IP II dla dzia≥ania 4.5 oraz poddzia≥aÒ 6.2.2 i 6.5.2 PO IG w Ministerstwie Gospodarki.;POIG.09.02.00-00-019/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.02.00;;481,999.23;481,999.23;481,999.23;409,699.35;Ministerstwo Gospodarki, Departament Wdraøania ProgramÛw Operacyjnych;5262897181;00-507;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/01/18;2011/01/25
33-191;33;Projekt;Wyposaøenie Instytucji Poúredniczπcej (MSWiA) poprzez finansowanie kosztÛw wyposaøenia stanowisk pracy pracownikÛw zaangaøowanych w realizacjÍ 7 i 8 osi priorytetowej PO IG w 2011 roku;POIG.09.02.00-00-020/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.02.00;;1,002,788.00;1,002,788.00;1,002,788.00;852,369.80;Ministerstwo Spraw WewnÍtrznych i Administracji;5210526030;02-591;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;POIG.09.02.00-00-020/10-01;Nie;2011/04/27;2011/05/16
33-192;33;Projekt;Wyposaøenie Instytucji Wdraøajπcej w 2011 r.;POIG.09.02.00-00-022/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.02.00;;595,160.00;595,160.00;595,160.00;505,886.00;Oúrodek Przetwarzania Informacji;5250009140;00-608;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;jednostka naukowa;00 Nie dotyczy;POIG.09.02.00-00-022/10-01;Nie;2011/01/17;2011/01/19
33-193;33;Projekt;Informacja i promocja w ramach 7 osi priorytetowej i dzia≥ania 8.3 i 8.4 w ramach 8 osi POIG w 2011 roku realizowana przez WWPE;POIG.09.03.00-00-014/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.03.00;;660,000.00;660,000.00;660,000.00;561,000.00;W≥adza Wdraøajπca Programy Europejskie;5262735917;00-926;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;POIG.09.03.00-00-014/10-01;Nie;2011/03/03;2011/05/04
33-194;33;Projekt;Dzia≥ania informacyjno-promocyjne realizowane w 2011 roku przez InstytucjÍ Wdraøajπcπ dzia≥anie 4.5 i poddzia≥ania 6.2.2, 6.5.2 PO IG;POIG.09.03.00-00-015/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.03.00;;678,800.00;678,800.00;678,800.00;576,980.00;Ministerstwo Gospodarki, Departament Wdraøania ProgramÛw Operacyjnych;5262897181;00-507;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;POIG.09.03.00-00-015/10-01;Nie;2011/01/18;2011/01/25
33-195;33;Projekt;Informacja i promocja - POT - 2011;POIG.09.03.00-00-017/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.03.00;;140,000.00;140,000.00;140,000.00;119,000.00;Polska Organizacja Turystyczna;5252150196;00-613;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;paÒstwowa osoba prawna;00 Nie dotyczy;POIG.09.03.00-00-017/10-02;Nie;2011/01/04;2011/01/14
33-196;33;Projekt;Dzia≥ania informacyjne i promocyjne Instytucji Poúredniczπcej (MSWiA) realizowane w ramach 7. i 8. osi priorytetowej PO IG w 2011 roku;POIG.09.03.00-00-020/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.03.00;;1,225,000.00;1,225,000.00;1,225,000.00;1,041,250.00;Ministerstwo Spraw WewnÍtrznych i Administracji;5210526030;02-591;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/01/21;2011/02/08
33-197;33;Projekt;Dzia≥ania informacyjne i promocyjne IW w 2011 r.;POIG.09.03.00-00-023/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.03.00;;1,020,750.00;1,020,750.00;1,020,750.00;867,637.50;Oúrodek Przetwarzania Informacji;5250009140;00-608;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;jednostka naukowa;00 Nie dotyczy;POIG.09.03.00-00-023/10-02;Nie;2011/01/17;2011/01/19
33-198;33;Projekt;Dzia≥ania informacyjno-promocyjne realizowane w ramach Programu Operacyjnego Innowacyjna Gospodarka, wdraøanego przez Polskπ AgencjÍ Rozwoju PrzedsiÍbiorczoúci w 2011 roku.;POIG.09.03.00-00-024/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.03.00;;1,091,000.00;1,091,000.00;1,091,000.00;927,350.00;Polska Agencja Rozwoju PrzedsiÍbiorczoúci;5262501444;00-834;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;paÒstwowa osoba prawna;00 Nie dotyczy;POIG.09.03.00-00-024/10-01;Nie;2011/04/20;2011/04/21
33-199;33;Projekt;Ewaluacja wdraøania I II Priorytetu PO IG w 2011 r.;POIG.09.04.00-00-006/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.04.00;;182,000.00;182,000.00;182,000.00;154,700.00;Minister Nauki i Szkolnictwa Wyøszego;7010014467;00-529;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/02/15;2011/02/22
33-200;33;Projekt;Ewaluacja w ramach 7 i 8 osi priorytetowej POIG w 2011 roku realizowana przez WWPE;POIG.09.04.00-00-015/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.04.00;;80,000.00;80,000.00;80,000.00;68,000.00;W≥adza Wdraøajπca Programy Europejskie;5262735917;00-926;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;organ w≥adzy, administracji rzπdowej;00 Nie dotyczy;;;2011/03/03;2011/05/04
33-201;33;Projekt;Ewaluacja PO IG 2011;POIG.09.04.00-00-025/10-00;Program Operacyjny Innowacyjna Gospodarka;POIG.09.00.00;POIG.09.04.00;;1,181,000.00;1,181,000.00;1,181,000.00;1,003,850.00;Polska Agencja Rozwoju PrzedsiÍbiorczoúci;5262501444;00-834;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;paÒstwowa osoba prawna;00 Nie dotyczy;POIG.09.04.00-00-025/10-01;Nie;2011/04/20;2011/04/21
33-202;33;Projekt;Kompleksowe zagospodarowanie úciekÛw w zlewni rzeki Obry - Gmina åmigiel;POIS.01.01.00-00-010/08-02;Program Operacyjny Infrastruktura i årodowisko;POIS.01.00.00;POIS.01.01.00;;71,760,212.23;51,619,290.77;43,876,397.16;43,876,397.16;Gmina åmigiel;6981722462;64-030;åmigiel;Wielkopolskie;Powiat koúciaÒski;46 Oczyszczanie úciekÛw;wspÛlnota samorzπdowa - gmina;00 Nie dotyczy;POIS.01.01.00-00-010/08-08;Nie;2011/02/17;2011/02/17
33-203;33;Projekt;Racjonalna gospodarka wodπ w aspekcie spo≥.-gosp. rozwoju Gmin Mazowsza Zachodniego - Gmina Radziejowice;POIS.01.01.00-00-102/10-00;Program Operacyjny Infrastruktura i årodowisko;POIS.01.00.00;POIS.01.01.00;;25,799,372.33;9,934,886.41;8,444,653.45;8,444,653.45;Gmina Radziejowice;8381426414;96-325;Radziejowice;Mazowieckie;Powiat øyrardowski;46 Oczyszczanie úciekÛw;wspÛlnota samorzπdowa - gmina;00 Nie dotyczy;;;2011/02/10;2011/02/11
33-204;33;Projekt;Program Gospodarki Odpadami Komunalnymi w Krakowie;POIS.02.01.00-00-005/10-00;Program Operacyjny Infrastruktura i årodowisko;POIS.02.00.00;POIS.02.01.00;;792,182,089.83;437,327,121.14;371,728,052.96;371,728,052.96;Krakowski Holding Komunalny S.A.;6791862817;30-347;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;44 Gospodarka odpadami komunalnymi i przemys≥owymi;spÛ≥ka akcyjna - duøe przedsiÍbiorstwo;00 Nie dotyczy;;;2011/04/20;2011/04/26
