ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oú priorytetowa <Kod>;Dzia≥anie <Kod>;Poddzia≥anie <Kod>;WartoúÊ ogÛ≥em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;MiejscowoúÊ;WojewÛdztwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p≥atnoúÊ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoÒczony (Wniosek o p≥atnoúÊ koÒcowπ);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33-20;33;Projekt;Funkcjonalne nano- i mikromateria≥y w≥okiennicze.;POIG.01.03.01-00-004/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;21,575,362.91;21,560,000.00;21,560,000.00;18,326,000.00;Instytut W≥Ûkiennictwa;7240000664;92-103;£Ûdü;£Ûdzkie;Powiat m. £Ûdü;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-004/08-20;Nie;2011/02/25;2011/03/08
33-21;33;Projekt;Nowe, wielofunkcyjne substytuty kostne, o wysokiej porÍcznoúci chirurgicznej;POIG.01.03.01-00-005/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;5,342,000.00;5,342,000.00;5,342,000.00;4,540,700.00;Akademia GÛrniczo-Hutnicza im. Stanis≥awa Staszica w Krakowie;6750001923;30-059;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;;;2011/05/02;2011/05/26
33-22;33;Projekt;Barierowe materia≥y nowej generacji chroniπce cz≥owieka przed szkodliwym dzia≥aniem úrodowiska;POIG.01.03.01-00-006/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;15,503,445.69;15,450,000.00;15,450,000.00;13,132,500.00;Instytut W≥Ûkiennictwa;7240000664;92-103;£Ûdü;£Ûdzkie;Powiat m. £Ûdü;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-006/08-21;Nie;2011/02/15;2011/02/18
33-23;33;Projekt;Biodegradowalne wyroby w≥Ûkniste;POIG.01.03.01-00-007/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;35,934,686.11;35,579,999.82;35,579,999.82;30,242,999.85;Politechnika £Ûdzka;7270021895;90-924;£Ûdü;£Ûdzkie;Powiat m. £Ûdü;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.03.01-00-007/08-26;Nie;2011/02/15;2011/02/18
33-24;33;Projekt;Nowe technologie informacyjne dla elektronicznej gospodarki i spo≥eczeÒstwa informacyjnego oparte na paradygmacie SOA;POIG.01.03.01-00-008/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;36,290,000.00;36,290,000.00;36,290,000.00;30,846,500.00;Akademia GÛrniczo-Hutnicza im. Stanis≥awa Staszica w Krakowie;6750001923;30-059;KrakÛw;Ma≥opolskie;Powiat m. KrakÛw;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.03.01-00-008/08-34;Nie;2011/02/25;2011/03/09
33-25;33;Projekt;Kompozyty i Nanokompozyty Ceramiczno-Metalowe dla Przemys≥u Lotniczego i Samochodowego (Akronim: KomCerMet);POIG.01.03.01-00-013/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;23,360,000.00;23,360,000.00;23,360,000.00;19,856,000.00;Instytut Podstawowych ProblemÛw Techniki PAN;5250008979;02-106;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-013/08-25;Nie;2011/02/25;2011/03/10
33-26;33;Projekt;Nowe materia≥y metaliczne o strukturze nanometrycznej do zastosowania w nowoczesnych ga≥Íziach gospodarki;POIG.01.03.01-00-015/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;38,375,173.55;36,290,000.00;36,290,000.00;30,846,500.00;Politechnika Warszawska;5250005834;00-661;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;uczelnia wyøsza;00 Nie dotyczy;POIG.01.03.01-00-015/08-28;Nie;2011/02/23;2011/03/01
33-27;33;Projekt;Materia≥y opakowaniowe nowej generacji z tworzywa polimerowego ulegajπcego recyklingowi organicznemu;POIG.01.03.01-00-018/08-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;19,404,023.40;19,400,000.00;19,400,000.00;16,490,000.00;Centrum Materia≥Ûw Polimerowych i WÍglowych PAN;6480006714;41-819;Zabrze;ålπskie;Powiat m. Zabrze;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-018/08-23;Nie;2011/02/23;2011/02/25
33-28;33;Projekt;Zagospodarowanie biogliceryny do syntez chemicznych;POIG.01.03.01-00-021/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;5,203,964.54;4,780,826.32;4,780,826.32;4,063,702.37;"Instytut CiÍøkiej Syntezy Organicznej ""Blachownia""";7490007064;47-225;K DZIERZYN-KOèLE;Opolskie;Powiat kÍdzierzyÒsko-kozielski;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;;;2011/05/25;2011/05/26
33-29;33;Projekt;Materia≥y polimerowe otrzymywane innowacyjnymi technikami przetwÛrstwa odpadÛw z elektroniki i samochodÛw;POIG.01.03.01-00-025/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;4,073,518.87;3,987,960.00;3,987,960.00;3,389,766.00;G≥Ûwny Instytut GÛrnictwa;6340126016;40-166;Katowice;ålπskie;Powiat m. Katowice;01 Dzia≥alnoúÊ B+RT prowadzona w oúrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-025/08-14;Nie;2011/04/19;2011/04/22
